cell_id,group,color
ocfbaafo-1,anterior forebrain,#CF8EB1
ocfbhjpo-1,anterior forebrain,#CF8EB1
ocencfjp-1,anterior forebrain,#CF8EB1
ocfbilim-1,anterior forebrain,#CF8EB1
npjohpcb-1,anterior forebrain,#CF8EB1
npkgeofc-1,anterior forebrain,#CF8EB1
nlngonff-1,anterior forebrain,#CF8EB1
npihnopc-1,anterior forebrain,#CF8EB1
npkigibi-1,anterior forebrain,#CF8EB1
npicgcbg-1,anterior forebrain,#CF8EB1
nlobllli-1,anterior forebrain,#CF8EB1
npiknnnh-1,anterior forebrain,#CF8EB1
nloefnfj-1,anterior forebrain,#CF8EB1
nlnmomed-1,anterior forebrain,#CF8EB1
nlobpbdd-1,anterior forebrain,#CF8EB1
nlnocnkh-1,anterior forebrain,#CF8EB1
nlnknknj-1,anterior forebrain,#CF8EB1
npilkien-1,anterior forebrain,#CF8EB1
ocepnhij-1,anterior forebrain,#CF8EB1
npiecnpa-1,anterior forebrain,#CF8EB1
npidaadg-1,anterior forebrain,#CF8EB1
ocfibabk-1,anterior forebrain,#CF8EB1
nlnjegpg-1,anterior forebrain,#CF8EB1
oaklhkhl-1,anterior forebrain,#CF8EB1
oakmbhfp-1,anterior forebrain,#CF8EB1
npiefchd-1,anterior forebrain,#CF8EB1
nlnjbagg-1,anterior forebrain,#CF8EB1
ocfdhanf-1,anterior forebrain,#CF8EB1
ocffoneh-1,anterior forebrain,#CF8EB1
nloinmkm-1,anterior forebrain,#CF8EB1
ocfjdlcb-1,anterior forebrain,#CF8EB1
nlhlnifp-1,anterior forebrain,#CF8EB1
nlifdoel-1,anterior forebrain,#CF8EB1
nlhnpjlm-1,anterior forebrain,#CF8EB1
nljoeame-1,anterior forebrain,#CF8EB1
nlhmfinj-1,anterior forebrain,#CF8EB1
nlhnkbcd-1,anterior forebrain,#CF8EB1
nlhkeppi-1,anterior forebrain,#CF8EB1
nlhlgcac-1,anterior forebrain,#CF8EB1
oagoeacj-1,anterior forebrain,#CF8EB1
nllmjijh-1,anterior forebrain,#CF8EB1
nlmegoel-1,anterior forebrain,#CF8EB1
nlmcllan-1,anterior forebrain,#CF8EB1
oakokpji-1,anterior forebrain,#CF8EB1
oakpfepp-1,anterior forebrain,#CF8EB1
oakmcchh-1,anterior forebrain,#CF8EB1
oahckjfl-1,anterior forebrain,#CF8EB1
oahcfhce-1,anterior forebrain,#CF8EB1
